name,unit_price,team_id,description,product_id
sit amet diam in,378.77,75,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,31
magna ac consequat metus sapien,19.65,6,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,32
nam nulla,320.6,72,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien,33
aliquet at feugiat non pretium quis,889.5,84,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,34
in imperdiet et commodo,459.65,86,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,35
porttitor lacus at turpis donec,644.79,36,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,36
nec dui,752.32,22,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id,37
augue luctus tincidunt nulla mollis molestie,960.41,23,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,38
sit amet sem fusce,117.06,92,quam a odio in hac habitasse platea dictumst maecenas ut,39
metus arcu adipiscing,402.4,70,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,40
ipsum dolor,959.07,63,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,41
donec ut mauris eget,853.3,4,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,42
ac tellus,431.29,59,cras mi pede malesuada in imperdiet et commodo vulputate justo,43
molestie hendrerit,426.56,23,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,44
suscipit nulla elit,432.78,9,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,45
turpis nec euismod,371.25,79,sapien non mi integer ac neque duis bibendum morbi non quam nec dui,46
semper interdum,200.58,83,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,47
nascetur ridiculus mus etiam vel augue,591.47,20,id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,48
ac diam,23.3,37,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,49
a ipsum,329.89,43,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,50
luctus tincidunt nulla mollis molestie,582.21,89,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,51
phasellus in felis,528.01,94,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,52
convallis nulla,66.23,55,est risus auctor sed tristique in tempus sit amet sem,53
felis fusce posuere felis sed lacus morbi,248.87,39,aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,54
lobortis convallis tortor risus dapibus augue,219.82,52,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,55
at dolor quis odio consequat varius,940.23,78,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,56
quam pharetra magna ac consequat metus,142.16,92,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,57
neque aenean auctor gravida sem praesent,655.74,7,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,58
nulla elit ac,842.44,60,sed vestibulum sit amet cursus id turpis integer aliquet massa id,59
luctus ultricies eu nibh quisque id,941.31,56,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,60
mauris enim leo,8.98,30,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,61
morbi non lectus,866.44,45,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,62
justo etiam pretium iaculis justo in hac,571.69,27,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,63
commodo placerat,59.93,1,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,64
vel augue vestibulum,884.56,35,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,65
lacinia aenean sit amet,474.38,51,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,66
ut rhoncus aliquet,667.64,38,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,67
vulputate ut ultrices vel augue,182.67,75,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in,68
gravida nisi at nibh,769.16,82,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,69
augue quam sollicitudin vitae,183.51,54,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,70
vivamus vel,226.72,26,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam,71
pellentesque ultrices,851.63,12,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,72
mauris viverra,711.57,100,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,73
praesent blandit nam,354.07,6,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst,74
cubilia curae nulla dapibus dolor vel est,432.21,50,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,75
feugiat et eros,255.03,88,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,76
vestibulum ante,172.68,80,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,77
a ipsum integer a,352.06,55,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,78
interdum eu tincidunt in leo maecenas,5.83,91,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,79
augue luctus tincidunt nulla,616.9,62,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere,80
lacinia eget tincidunt eget tempus vel,470.79,60,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum,81
molestie hendrerit at,398.55,16,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,82
sem duis aliquam,62.52,96,justo morbi ut odio cras mi pede malesuada in imperdiet et,83
pede lobortis ligula sit,140.45,61,consequat metus sapien ut nunc vestibulum ante ipsum primis in,84
suscipit a feugiat et eros vestibulum ac,195.06,70,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet,85
erat eros viverra eget congue eget,878.56,34,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,86
justo in hac,101.09,17,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,87
nulla integer pede justo lacinia eget tincidunt,471.95,57,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,88
diam in,905.39,29,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl,89
interdum venenatis,127.11,4,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,90
nulla tellus in sagittis,301.1,70,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,91
ultrices libero,589.81,46,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,92
quis odio consequat varius integer,598.52,90,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam,93
nisi vulputate,693.08,58,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,94
cubilia curae nulla dapibus dolor vel est,100.33,5,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,95
integer tincidunt ante vel ipsum,257.35,71,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci,96
fusce congue diam id ornare,467.11,85,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,97
quis orci nullam molestie,630.69,14,lacinia aenean sit amet justo morbi ut odio cras mi,98
enim blandit mi in porttitor pede justo,481.77,54,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,99
ante ipsum primis in faucibus orci,922.86,43,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,100
